Client,Ticker,Quantity,Price,Sector,Country,AssetClass
Mario Rossi,AAPL,10,150,Tech,USA,Stock
Mario Rossi,MSFT,5,300,Tech,USA,Stock
Mario Rossi,TSLA,8,650,Auto,USA,Stock
Mario Rossi,GOOGL,3,2800,Tech,USA,Stock
Mario Rossi,AMZN,4,3300,Consumer,USA,Stock
Mario Rossi,JPM,10,160,Finance,USA,Stock
Lucia Bianchi,V,6,220,Finance,USA,Stock
Lucia Bianchi,NVDA,7,500,Tech,USA,Stock
Lucia Bianchi,BABA,12,180,Tech,China,Stock
Lucia Bianchi,DIS,5,180,Entertainment,USA,Stock
Lucia Bianchi,KO,20,55,Food,USA,Stock
Lucia Bianchi,PFE,15,45,Healthcare,USA,Stock
Giovanni Verdi,FB,8,350,Tech,USA,Stock
Giovanni Verdi,TSM,10,120,Semiconductors,Taiwan,Stock
Giovanni Verdi,JNJ,6,160,Healthcare,USA,Stock
Giovanni Verdi,XOM,12,60,Energy,USA,Stock
Giovanni Verdi,ORCL,15,85,Tech,USA,Stock
Giovanni Verdi,NFLX,4,550,Entertainment,USA,Stock
Francesca Neri,BAC,20,40,Finance,USA,Stock
Francesca Neri,INTC,10,50,Semiconductors,USA,Stock
Francesca Neri,ADBE,6,500,Tech,USA,Stock
Francesca Neri,CSCO,15,50,Tech,USA,Stock
Francesca Neri,PEP,10,140,Food,USA,Stock
Francesca Neri,MRK,8,75,Healthcare,USA,Stock
Alessandro Russo,NKE,12,120,Consumer,USA,Stock
Alessandro Russo,SBUX,10,110,Food,USA,Stock
Alessandro Russo,UBER,20,45,Tech,USA,Stock
Alessandro Russo,GM,18,60,Auto,USA,Stock
Alessandro Russo,TWTR,7,65,Tech,USA,Stock
Alessandro Russo,INTU,5,450,Tech,USA,Stock
Chiara Fontana,MCD,12,220,Food,USA,Stock
Chiara Fontana,BA,6,230,Aerospace,USA,Stock
Chiara Fontana,CRM,8,250,Tech,USA,Stock
Chiara Fontana,CVX,10,100,Energy,USA,Stock
Chiara Fontana,AMGN,12,220,Healthcare,USA,Stock
Chiara Fontana,KO,15,55,Food,USA,Stock
Davide Galli,AAPL,10,150,Tech,USA,Stock
Davide Galli,MSFT,5,300,Tech,USA,Stock
Davide Galli,TSLA,8,650,Auto,USA,Stock
Davide Galli,GOOGL,3,2800,Tech,USA,Stock
Davide Galli,AMZN,4,3300,Consumer,USA,Stock
Davide Galli,JPM,10,160,Finance,USA,Stock
Elena Greco,V,6,220,Finance,USA,Stock
Elena Greco,NVDA,7,500,Tech,USA,Stock
Elena Greco,BABA,12,180,Tech,China,Stock
Elena Greco,DIS,5,180,Entertainment,USA,Stock
Elena Greco,KO,20,55,Food,USA,Stock
Elena Greco,PFE,15,45,Healthcare,USA,Stock
Federico Moretti,FB,8,350,Tech,USA,Stock
Federico Moretti,TSM,10,120,Semiconductors,Taiwan,Stock
Federico Moretti,JNJ,6,160,Healthcare,USA,Stock
Federico Moretti,XOM,12,60,Energy,USA,Stock
Federico Moretti,ORCL,15,85,Tech,USA,Stock
Federico Moretti,NFLX,4,550,Entertainment,USA,Stock
Giulia Conti,BAC,20,40,Finance,USA,Stock
Giulia Conti,INTC,10,50,Semiconductors,USA,Stock
Giulia Conti,ADBE,6,500,Tech,USA,Stock
Giulia Conti,CSCO,15,50,Tech,USA,Stock
Giulia Conti,PEP,10,140,Food,USA,Stock
Giulia Conti,MRK,8,75,Healthcare,USA,Stock
Lorenzo Fabbri,NKE,12,120,Consumer,USA,Stock
Lorenzo Fabbri,SBUX,10,110,Food,USA,Stock
Lorenzo Fabbri,UBER,20,45,Tech,USA,Stock
Lorenzo Fabbri,GM,18,60,Auto,USA,Stock
Lorenzo Fabbri,TWTR,7,65,Tech,USA,Stock
Lorenzo Fabbri,INTU,5,450,Tech,USA,Stock
Sara De Luca,MCD,12,220,Food,USA,Stock
Sara De Luca,BA,6,230,Aerospace,USA,Stock
Sara De Luca,CRM,8,250,Tech,USA,Stock
Sara De Luca,CVX,10,100,Energy,USA,Stock
Sara De Luca,AMGN,12,220,Healthcare,USA,Stock
Sara De Luca,KO,15,55,Food,USA,Stock
