Client,Ticker,Quantity,Price,Sector,Country,AssetClass
Client_01,XOM.US,12,1398.31,Finance,Canada,ETF
Client_01,KO.US,14,161.78,Healthcare,Netherlands,Stock
Client_01,MCD.US,1,1461.13,Aerospace,Taiwan,Stock
Client_01,GOOGL.US,12,812.92,Entertainment,Netherlands,ETF
Client_01,JNJ.US,17,1370.57,Energy,China,ETF
Client_01,TSLA.US,14,1200.24,Healthcare,USA,Stock
Client_01,SBUX.US,13,1429.86,Utilities,Germany,Bond
Client_02,JNJ.US,7,299.0,Tech,Japan,Stock
Client_02,XOM.US,18,1413.89,Consumer,Japan,Bond
Client_02,PEP.US,16,740.31,Semiconductors,Germany,ETF
Client_02,BAC.US,8,918.06,Utilities,Italy,ETF
Client_02,PFE.US,15,676.86,Aerospace,USA,Stock
Client_02,TSLA.US,15,1304.73,Real Estate,Brazil,Bond
Client_02,MSFT.US,8,888.22,Aerospace,China,Stock
Client_03,PFE.US,18,127.31,Aerospace,China,Bond
Client_03,NVDA.US,11,831.2,Consumer,Australia,ETF
Client_03,CRM.US,17,70.36,Entertainment,China,Stock
Client_03,JNJ.US,17,250.51,Utilities,Netherlands,Bond
Client_03,GOOGL.US,6,813.99,Aerospace,Brazil,Bond
Client_03,CVX.US,5,311.0,Tech,UK,Bond
Client_03,XOM.US,20,271.43,Tech,China,Stock
Client_04,MSFT.US,9,1167.27,Tech,Netherlands,Stock
Client_04,V.US,18,597.62,Energy,Italy,Stock
Client_04,NVDA.US,2,1020.32,Entertainment,USA,Stock
Client_04,PEP.US,11,946.73,Energy,Italy,Stock
Client_04,ADBE.US,1,1314.22,Semiconductors,Netherlands,ETF
Client_04,JPM.US,19,749.99,Healthcare,France,ETF
Client_04,CVX.US,14,852.68,Energy,Japan,Bond
Client_04,BAC.US,19,318.76,Aerospace,Netherlands,Stock
Client_05,INTU.US,5,32.43,Healthcare,Brazil,ETF
Client_05,CVX.US,9,1104.25,Aerospace,Japan,Stock
Client_05,NVDA.US,10,623.83,Utilities,USA,ETF
Client_05,MCD.US,13,556.47,Energy,France,Stock
Client_05,PEP.US,7,814.79,Finance,UK,Stock
Client_06,XOM.US,20,113.84,Utilities,UK,Stock
Client_06,ADBE.US,2,1110.03,Aerospace,Netherlands,Bond
Client_06,MSFT.US,20,885.94,Finance,Canada,Stock
Client_06,AMZN.US,10,831.56,Auto,Germany,Stock
Client_06,TSLA.US,6,1069.01,Entertainment,UK,ETF
Client_06,KO.US,3,644.26,Finance,UK,ETF
Client_06,CRM.US,1,165.52,Healthcare,USA,Stock
Client_07,JNJ.US,11,108.46,Aerospace,Australia,Stock
Client_07,V.US,1,917.95,Semiconductors,France,Stock
Client_07,NVDA.US,1,541.34,Entertainment,Italy,Bond
Client_07,CVX.US,18,95.81,Consumer,Australia,Stock
Client_07,GOOGL.US,12,1091.03,Food,Netherlands,ETF
Client_07,AAPL.US,18,309.26,Consumer,Japan,Bond
Client_08,ADBE.US,8,1227.24,Consumer,France,ETF
Client_08,NVDA.US,8,182.25,Utilities,Netherlands,Stock
Client_08,V.US,20,162.52,Semiconductors,Japan,Stock
Client_08,JPM.US,8,437.09,Utilities,China,Bond
Client_08,CVX.US,5,1133.81,Tech,UK,ETF
Client_08,GOOGL.US,1,343.3,Utilities,China,Bond
Client_08,PEP.US,14,524.1,Finance,Germany,Bond
Client_09,ADBE.US,5,1221.06,Semiconductors,Japan,ETF
Client_09,MSFT.US,3,1061.1,Consumer,France,Stock
Client_09,AMZN.US,5,166.53,Healthcare,Brazil,ETF
Client_09,TSLA.US,6,1141.16,Finance,UK,Stock
