Client,Ticker,Quantity,Price,Sector,Country,AssetClass
Client_01,QCOM,13,987.93,Healthcare,USA,Stock
Client_01,V,8,459.98,Finance,Taiwan,Bond
Client_01,CSCO,6,1365.02,Entertainment,USA,Bond
Client_01,GM,1,754.36,Consumer,France,ETF
Client_01,RIO,18,520.54,Healthcare,Canada,Stock
Client_01,INTC,15,1033.34,Food,Germany,Stock
Client_02,AMD,16,155.2,Healthcare,France,Bond
Client_02,BA,14,198.55,Food,USA,ETF
Client_02,PFE,20,188.9,Auto,Netherlands,Stock
Client_02,FB,19,192.76,Semiconductors,Canada,Bond
Client_02,MRK,2,805.75,Tech,Canada,Bond
Client_02,GM,2,824.99,Semiconductors,UK,ETF
Client_03,FB,20,1160.9,Consumer,China,Bond
Client_03,BIDU,7,326.95,Auto,Germany,Stock
Client_03,NVDA,13,1049.05,Semiconductors,Italy,Stock
Client_03,AMGN,3,370.54,Tech,Germany,ETF
Client_03,MCD,6,1288.41,Consumer,UK,Bond
Client_03,AMZN,12,19.08,Food,Germany,ETF
Client_03,BA,2,954.44,Energy,Germany,ETF
Client_04,SONY,20,1246.32,Auto,USA,Stock
Client_04,JNJ,20,558.94,Semiconductors,Canada,ETF
Client_04,V,10,450.03,Energy,France,Bond
Client_04,AMGN,7,1018.82,Energy,China,ETF
Client_04,RIO,2,1291.71,Finance,USA,Stock
Client_04,BIDU,1,176.71,Finance,UK,ETF
Client_04,TM,14,960.11,Finance,Canada,Stock
Client_04,NFLX,19,882.07,Semiconductors,Taiwan,Bond
Client_05,CRM,14,1159.89,Food,France,ETF
Client_05,PFE,13,1396.97,Finance,Netherlands,Bond
Client_05,SONY,5,1144.29,Food,Italy,Stock
Client_05,UBER,16,589.79,Healthcare,Germany,Bond
Client_05,AMZN,7,539.58,Auto,Canada,Bond
Client_05,BIDU,13,834.96,Finance,Taiwan,Bond
Client_05,SQ,19,804.49,Semiconductors,Taiwan,ETF
Client_06,KO,16,909.05,Finance,USA,Stock
Client_06,VOW3,14,1022.42,Energy,Taiwan,ETF
Client_06,TSM,11,1267.95,Entertainment,Germany,Stock
Client_06,BABA,2,487.72,Food,UK,ETF
Client_06,LVMH,13,319.38,Aerospace,USA,Bond
Client_06,JNJ,19,1388.72,Energy,USA,ETF
Client_06,XOM,4,1324.76,Healthcare,Japan,Bond
Client_07,MCD,3,707.78,Healthcare,Netherlands,Bond
Client_07,LVMH,16,1339.51,Aerospace,Germany,Bond
Client_07,IBM,16,1116.05,Energy,France,Stock
Client_07,CSCO,12,1197.68,Finance,Netherlands,Bond
Client_07,JNJ,20,237.89,Entertainment,UK,ETF
Client_07,TSM,11,886.76,Consumer,Italy,Bond
Client_07,SAP,5,1304.64,Auto,Germany,Stock
Client_07,BP,11,853.44,Aerospace,France,Stock
Client_08,MRK,3,702.27,Food,Japan,Stock
Client_08,PEP,19,443.43,Entertainment,USA,Bond
Client_08,FB,17,1444.94,Healthcare,Canada,ETF
Client_08,XOM,8,1050.34,Food,Taiwan,Bond
Client_08,LVMH,6,897.93,Tech,UK,Bond
Client_08,AMD,3,1013.99,Energy,UK,ETF
Client_09,AAPL,12,234.92,Entertainment,Netherlands,ETF
Client_09,TSM,14,1157.47,Semiconductors,Taiwan,Bond
Client_09,MRK,7,1046.74,Consumer,Netherlands,Stock
Client_09,IBM,12,920.25,Auto,UK,ETF
Client_09,XOM,14,301.43,Semiconductors,Netherlands,ETF
Client_09,UBER,1,425.53,Semiconductors,France,Stock
Client_10,AMD,12,863.5,Healthcare,Italy,Bond
Client_10,MCD,6,86.66,Aerospace,USA,Stock
Client_10,BA,16,966.9,Semiconductors,China,ETF
Client_10,SBUX,9,1480.13,Consumer,Canada,ETF
Client_10,MSFT,4,228.87,Semiconductors,Japan,Bond
