Client,Ticker,Quantity,Price,Sector,Country,AssetClass
Client_01,SAP.DE,8,847.7,Consumer,China,ETF
Client_01,ORCL.US,8,109.94,Food,USA,ETF
Client_01,BP.L,15,1036.45,Tech,Japan,Stock
Client_01,TSLA.US,9,921.35,Finance,Germany,Bond
Client_01,AAPL.US,14,1396.36,Healthcare,Japan,ETF
Client_01,VOW.DE,15,1459.14,Entertainment,UK,Bond
Client_01,SHOP.CA,1,1319.12,Finance,China,Bond
Client_02,SAP.DE,16,1098.36,Food,Japan,Bond
Client_02,JPM.US,13,654.45,Energy,USA,Stock
Client_02,CVX.US,1,37.47,Energy,France,Stock
Client_02,AMZN.US,18,883.32,Finance,UK,ETF
Client_02,JNJ.US,15,223.71,Finance,Japan,ETF
Client_02,MC.PA,11,108.67,Semiconductors,Japan,Bond
Client_02,MCD.US,2,513.68,Auto,Netherlands,Stock
Client_03,CRM.US,2,187.06,Consumer,Italy,ETF
Client_03,NKE.US,14,336.11,Consumer,China,Stock
Client_03,BABA.US,2,1172.18,Entertainment,Germany,Bond
Client_03,TSM.TW,16,1462.07,Auto,Taiwan,Stock
Client_03,UBER.US,15,1126.21,Tech,Japan,ETF
Client_03,NFLX.US,19,766.13,Entertainment,USA,Bond
Client_03,INTC.US,9,412.82,Finance,Canada,Bond
Client_03,DIS.US,6,57.71,Consumer,Taiwan,Bond
Client_04,JPM.US,1,275.0,Consumer,Italy,Bond
Client_04,NVDA.US,5,1148.3,Consumer,UK,Stock
Client_04,AMGN.US,11,595.9,Auto,Italy,Stock
Client_04,PFE.US,1,595.09,Aerospace,China,ETF
Client_04,MC.PA,18,469.5,Tech,Canada,ETF
Client_04,NIO.US,4,240.73,Finance,Netherlands,Bond
Client_05,CSCO.US,16,966.13,Food,China,Stock
Client_05,TM.JP,15,1318.99,Semiconductors,China,ETF
Client_05,XOM.US,13,1364.69,Food,UK,Stock
Client_05,MRK.US,20,1423.66,Healthcare,Italy,ETF
Client_05,HSBC.L,11,120.15,Entertainment,Germany,ETF
Client_05,CVX.US,2,343.91,Aerospace,Italy,ETF
Client_05,NFLX.US,20,719.54,Food,China,Stock
Client_06,BABA.US,15,1120.5,Semiconductors,USA,ETF
Client_06,BA.US,13,431.48,Aerospace,Canada,Stock
Client_06,AMZN.US,1,296.14,Aerospace,Canada,ETF
Client_06,RIO.L,20,361.08,Aerospace,France,ETF
Client_06,V.US,12,910.87,Semiconductors,China,Stock
Client_06,SONY.JP,1,678.11,Energy,Netherlands,Stock
Client_06,BAC.US,13,818.63,Healthcare,UK,Stock
Client_07,NIO.US,8,1119.93,Semiconductors,Germany,Stock
Client_07,NVDA.US,14,33.23,Finance,Japan,Stock
Client_07,JNJ.US,2,1142.25,Consumer,France,Stock
Client_07,CRM.US,16,65.85,Healthcare,Netherlands,Stock
Client_07,ORCL.US,7,1372.46,Auto,USA,Bond
Client_07,PFE.US,13,404.12,Semiconductors,Taiwan,Stock
Client_07,SONY.JP,17,246.32,Finance,France,ETF
Client_08,TSLA.US,16,177.14,Semiconductors,UK,Bond
Client_08,KO.US,17,958.37,Auto,Netherlands,Bond
Client_08,SHOP.CA,8,537.97,Auto,Germany,Bond
Client_08,TM.JP,8,1361.49,Tech,Germany,Stock
Client_08,MSFT.US,8,210.23,Entertainment,France,Bond
Client_08,JNJ.US,19,649.71,Tech,Canada,ETF
Client_08,NFLX.US,11,887.46,Healthcare,Taiwan,ETF
Client_09,META.US,4,928.81,Energy,USA,Bond
Client_09,XOM.US,6,1082.35,Semiconductors,Germany,Bond
Client_09,SAP.DE,17,409.11,Entertainment,Japan,Stock
Client_09,BABA.US,15,447.41,Consumer,France,Stock
Client_09,INTC.US,3,1351.19,Healthcare,Germany,Stock
Client_09,HSBC.L,1,417.17,Finance,France,Bond
Client_09,TM.JP,16,565.82,Auto,Japan,Stock
Client_10,AMZN.US,12,373.55,Food,UK,Stock
Client_10,MCD.US,14,1232.73,Entertainment,France,Bond
Client_10,SAP.DE,5,406.3,Tech,Japan,ETF
Client_10,NKE.US,18,1109.28,Energy,Netherlands,ETF
Client_10,INTU.US,20,1155.56,Tech,UK,Bond
Client_10,NVDA.US,18,1118.86,Healthcare,France,Bond
Client_10,TM.JP,4,401.73,Finance,Netherlands,ETF
Client_11,DIS.US,3,1152.53,Tech,China,Bond
Client_11,SAP.DE,8,1137.08,Tech,Japan,Stock
Client_11,SQ.US,10,1182.46,Food,Taiwan,Stock
Client_11,HSBC.L,13,418.76,Auto,Canada,Bond
Client_11,PEP.US,14,1139.71,Consumer,Canada,Stock
Client_11,META.US,14,299.84,Auto,France,Bond
Client_12,DIS.US,5,663.32,Consumer,France,Bond
Client_12,SHOP.CA,10,1297.42,Finance,Canada,Stock
Client_12,MC.PA,15,659.66,Consumer,Germany,Stock
Client_12,AAPL.US,17,53.64,Food,France,Bond
Client_12,TM.JP,18,85.11,Finance,Italy,Bond
Client_12,MRK.US,9,876.54,Semiconductors,UK,ETF
Client_12,GOOGL.US,14,981.36,Food,Canada,ETF
Client_12,AMZN.US,16,285.65,Healthcare,Netherlands,Bond
Client_13,XOM.US,10,1094.28,Energy,France,Stock
Client_13,BABA.US,6,1340.57,Auto,USA,ETF
Client_13,PEP.US,5,163.6,Energy,China,ETF
Client_13,MRK.US,16,151.49,Consumer,Germany,Stock
Client_13,QCOM.US,8,856.69,Aerospace,China,Bond
Client_13,V.US,12,1106.17,Consumer,France,ETF
Client_14,UBER.US,8,884.38,Consumer,China,ETF
Client_14,INTU.US,13,1495.37,Finance,Germany,ETF
Client_14,BABA.US,1,996.86,Energy,Taiwan,ETF
Client_14,BP.L,17,1233.26,Auto,USA,Stock
Client_14,SHOP.CA,6,762.57,Energy,Japan,Stock
Client_14,TM.JP,12,793.81,Semiconductors,China,ETF
Client_15,SAP.DE,11,942.81,Tech,Canada,Stock
Client_15,ADBE.US,6,751.74,Auto,Canada,Stock
Client_15,BIDU.US,19,438.41,Finance,UK,Stock
Client_15,MCD.US,11,1047.52,Finance,UK,Stock
Client_15,IBM.US,18,564.37,Energy,USA,ETF
Client_15,AMZN.US,2,1298.87,Energy,USA,Stock
Client_15,BABA.US,3,246.05,Entertainment,UK,ETF
Client_15,SHOP.CA,4,402.96,Energy,Canada,ETF
Client_16,CRM.US,14,1441.41,Energy,UK,ETF
Client_16,ADBE.US,13,1119.95,Semiconductors,Taiwan,Stock
Client_16,BA.US,14,1479.64,Consumer,UK,Stock
Client_16,KO.US,3,1235.86,Auto,UK,ETF
Client_16,ORCL.US,10,216.62,Finance,Canada,ETF
Client_16,SHOP.CA,13,439.55,Energy,Italy,Stock
Client_17,BABA.US,1,1143.0,Semiconductors,Netherlands,Stock
Client_17,QCOM.US,17,189.01,Auto,France,Stock
Client_17,SBUX.US,13,498.54,Healthcare,USA,Bond
Client_17,RIO.L,6,628.42,Semiconductors,Italy,Bond
Client_17,META.US,3,928.21,Finance,Canada,Bond
Client_17,AMGN.US,4,388.36,Consumer,China,Bond
Client_18,BP.L,19,1484.46,Healthcare,Italy,ETF
Client_18,SQ.US,17,248.18,Finance,Canada,Bond
Client_18,TSM.TW,4,64.4,Entertainment,China,ETF
Client_18,GOOGL.US,7,326.14,Tech,Canada,Stock
Client_18,JPM.US,20,964.72,Semiconductors,Germany,Bond
Client_18,ADBE.US,2,912.53,Finance,Italy,ETF
Client_18,PFE.US,17,1143.59,Consumer,UK,Stock
Client_18,HSBC.L,18,280.67,Consumer,Canada,Bond
Client_19,CRM.US,11,50.8,Finance,Netherlands,ETF
Client_19,SQ.US,10,356.75,Tech,Taiwan,Stock
Client_19,NIO.US,16,695.42,Entertainment,UK,Stock
Client_19,INTC.US,5,1132.04,Aerospace,Japan,ETF
Client_19,V.US,12,280.37,Semiconductors,France,Stock
Client_19,BABA.US,19,1496.26,Aerospace,Italy,Stock
Client_19,VOW.DE,16,473.33,Healthcare,France,Bond
Client_20,V.US,1,434.44,Aerospace,Japan,ETF
Client_20,CVX.US,7,928.78,Tech,USA,ETF
Client_20,SAP.DE,11,807.68,Auto,France,ETF
Client_20,BIDU.US,16,831.64,Consumer,Taiwan,Bond
Client_20,IBM.US,10,230.49,Aerospace,UK,Bond
Client_20,SHOP.CA,16,1072.82,Aerospace,Germany,Bond
Client_20,JNJ.US,7,1280.1,Energy,USA,ETF
Client_21,TWTR.US,14,342.9,Semiconductors,UK,Bond
Client_21,SAP.DE,2,940.83,Energy,Taiwan,Stock
Client_21,VOW.DE,14,1290.48,Consumer,Taiwan,ETF
Client_21,CRM.US,10,911.69,Entertainment,France,ETF
Client_21,AMGN.US,9,1497.91,Healthcare,France,Bond
Client_21,TM.JP,4,342.6,Consumer,Japan,Stock
Client_22,JNJ.US,1,44.16,Healthcare,Canada,ETF
Client_22,MCD.US,5,679.4,Tech,USA,ETF
Client_22,CSCO.US,14,168.44,Entertainment,Italy,Bond
Client_22,BA.US,3,869.76,Consumer,UK,ETF
Client_22,QCOM.US,18,77.97,Energy,Germany,Stock
Client_22,ORCL.US,16,725.74,Semiconductors,UK,Bond
Client_22,GM.US,9,1291.71,Energy,Netherlands,Stock
Client_22,SONY.JP,4,511.78,Tech,Germany,Stock
Client_23,PEP.US,10,1375.39,Auto,Japan,Stock
Client_23,TSLA.US,11,1264.55,Consumer,Canada,ETF
Client_23,PFE.US,3,761.06,Healthcare,Germany,Stock
